food_name,calories,protein_g,carbs_g,fat_g,fiber_g,sugars_g,sodium_mg,Density(g/cm3)
bajji,2.76300024,0.0462497,0.204888569,0.200575126,0.028277019,0.040977714,0.135394201,0.65
dhokla,2.622191497,0.098513654,0.274455582,0.127203595,0.043899067,0.098686485,5.355340477,0.55
dosa,1.732486051,0.040090928,0.30171523,0.038437694,0.008886133,0.001549907,0.970035131,0.45
idli,1.506753247,0.042857143,0.301818182,0.011428571,0.014025974,0.002597403,1.948311688,0.48
medu vada,1.903471634,0.061529777,0.160174993,0.118402484,0.028506915,0.00592718,3.067174711,0.7
poha,1.135524798,0.02061707,0.251081315,0.001658016,0,0,0.03049308,0.35
rice bhakri,1.3,0.026898734,0.281708861,0.00278481,0.003987342,0.000506329,0.01,0.85
roti,2.99,0.0785,0.46125,0.092,0.097,0.02925,2.98,0.68
samosa,2.615,0.0349,0.2391,0.1724,0.0208,0.0159,4.233,0.75
upma,0.853734038,0.022249452,0.13620534,0.025538501,0.012769251,0.017348123,1.155165742,0.68
